sort,nom,type,Type,kingdom,class,data,Progiciel_R,description,Acces,country,link,license,commentaire
53,Atlas des territoires d’intérêt pour la conservation dans les Basses-terres du Saint-Laurent,donnees,ecologie,NA,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/atlas-des-territoires-interet-conservation-btsl,CC-BY 4.0,
54,Écosystème forestier exceptionnel (EFE),donnees,ecologie,NA,,,,,,Québec,"https://www.donneesquebec.ca/recherche/dataset/ecosysteme-forestier-exceptionnel-efe, voir aussi https://mffp.gouv.qc.ca/les-forets/connaissances/connaissances-forestieres-environnementales/",CC-BY 4.0,
55,BirdLife,donnees,vivant,,,,,,,World,https://datazone.birdlife.org/,,
56,Limites territoriales des districts de la protection de la faune du Québec,donnees,vivant,,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/limites-districts-protection-de-la-faune,CC-BY 4.0,
57,Modèle de qualité de l’habitat (MQH) pour le hibou des marais dans le Québec méridional,donnees,vivant,,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/mqh-hibou-marais-quebec-meridional,CC-BY 4.0,
58,NatureServe ,donnees,vivant,,,,,Information sur les espèces rares et en danger,,,https://explorer.natureserve.org/,,
59,Registre des aires protégées au Québec,donnees,vivant,,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/aires-protegees-au-quebec,CC-BY 4.0,
60,Refuge biologique (désigné et en projet),donnees,vivant,,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/refuge-biologique-designe-et-en-projet,CC-BY 4.0,
61,KeyBiodiversity Areas,donnees,vivant,,,,,,,Canada,https://kbacanada.org/,,
62,Base de données canadienne sur les aires protégées et de conservation,donnees,vivant,,,,,,,Canada,https://www.canada.ca/fr/environnement-changement-climatique/services/reserves-nationales-faune/base-donnees-aires-protegees-conservation.html,,
63,iBat,donnees,vivant,,,,,,,,https://www.ibat-alliance.org/the-data?locale=en,,
64,Subdivisions territoriales forestières (STF),donnees,vivant,,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/stf,CC-BY 4.0,
65,Canadensys,donnees,vivant,,,,,Biodiversité Canadienne,,Canada,https://www.canadensys.net/,,
66,AlgaeBase,donnees,vivant,"Plantae, Chromista, Protista, and Bacteria",multiple,,,,,World,https://www.algaebase.org/,"property of the copyright owners who give permission for non-commercial use for teaching purposes in lectures and on meetings' presentations and posters, provided their copyright and the source is acknowledged, but are not free for publication in any format or manner",
67,AmphibiaWeb,donnees,vivant,animalia,,,,,,World,https://amphibiaweb.org/,CC-BY-NC,
68,AntWeb,donnees,vivant,animalia,,,,,,World,https://www.antweb.org/,,
69,Catalogue of life,donnees,vivant,All,All,,,,,,https://www.catalogueoflife.org/,,
70,Encyclopedia of Life ,donnees,vivant,All,All,,,,,,https://www.eol.org/,https://eol.org/docs/what-is-eol/terms-of-use,
71,FishBase,donnees,vivant,animalia,,,,,,,https://www.fishbase.ca/,,
72,Freshwater Ecoregions of the world,Reference,vivant,,,,,,,,https://www.feow.org/,,
73,Biodiversity Heritage Library,Reference,vivant,,,,,,,,https://www.biodiversitylibrary.org/,,
74,Plantetary computer,donnees,vivant,,,,,,,World,https://planetarycomputer.microsoft.com/,Variable selon le jeu de données,
75,Google Earth Engine,donnees,vivant,,,,,,,World,https://earthengine.google.com/,,
76,WorldClim,donnees,ecologie,NA,,,,,,World,https://www.worldclim.org/data/index.html,freely available for academic use and other non-commercial use,
